timestamp,mouseMovements,avgTypingSpeed,clicks,keypresses,Result
2024-08-28T18:02:36.616Z,48,0,0,0,Human
2024-08-28T18:02:37.618Z,43,0,0,0,Human
2024-08-28T18:02:38.609Z,45,0,0,0,Human
2024-08-28T18:02:39.612Z,52,0,0,0,Human
2024-08-28T18:02:40.617Z,62,0,0,0,Human
2024-08-28T18:02:41.612Z,59,0,0,0,Human
2024-08-28T18:02:42.611Z,18,0,0,0,Human
2024-08-28T18:02:43.612Z,6,0,0,0,Human
2024-08-28T18:02:44.610Z,16,0,0,0,Human
2024-08-28T18:02:45.614Z,19,0,0,0,Human
2024-08-28T18:02:46.609Z,6,0,0,0,Human
2024-08-28T18:02:47.612Z,77,0,0,0,Human
2024-08-28T18:02:48.610Z,16,0,0,0,Human
2024-08-28T18:02:49.614Z,63,0,0,0,Human
2024-08-28T18:02:50.614Z,26,0,0,0,Human
2024-08-28T18:02:51.618Z,1,0,0,0,Human
2024-08-28T18:02:52.617Z,38,0,0,0,Human
2024-08-28T18:02:53.624Z,18,0,0,0,Human
2024-08-28T18:02:54.624Z,2,0,0,0,Human
2024-08-28T18:02:55.610Z,21,0,0,0,Human
2024-08-28T18:02:56.626Z,48,0,0,0,Human
2024-08-28T18:02:57.620Z,0,0,0,0,Human
2024-08-28T18:02:58.619Z,0,11394.333333333334,0,3,Human
2024-08-28T18:02:59.613Z,0,0,0,0,Human
2024-08-28T18:03:00.611Z,0,269.375,0,8,Human
2024-08-28T18:03:01.615Z,0,62.642857142857146,0,14,Human
2024-08-28T18:03:02.622Z,0,100,0,7,Human
2024-08-28T18:03:03.618Z,0,0,0,0,Human
2024-08-28T18:03:04.611Z,0,2167,0,1,Human
2024-08-28T18:03:05.620Z,0,129,0,8,Human
2024-08-28T18:03:06.618Z,0,0,0,0,Human
2024-08-28T18:03:07.615Z,0,0,0,0,Human
2024-08-28T18:03:08.621Z,0,0,0,0,Human
2024-08-28T18:03:09.612Z,0,0,0,0,Human
2024-08-28T18:03:10.609Z,66,0,0,0,Human
2024-08-28T18:03:11.621Z,1,0,0,0,Human
2024-08-28T18:03:13.554Z,0,0,0,0,Human
2024-08-28T18:03:14.563Z,0,0,0,0,Human
2024-08-28T18:03:16.574Z,0,0,0,0,Human
2024-08-28T18:03:18.560Z,0,0,0,0,Human
2024-08-28T18:03:19.843Z,0,0,0,0,Human
2024-08-28T18:03:20.610Z,52,0,0,0,Human
2024-08-28T18:03:21.624Z,59,0,0,0,Human
2024-08-28T18:03:22.617Z,1,0,2,0,Human
2024-08-28T18:03:23.609Z,13,0,1,0,Human
2024-08-28T18:03:25.559Z,0,0,0,0,Human
2024-08-28T18:03:26.564Z,0,0,0,0,Human
2024-08-28T18:03:28.571Z,0,0,0,0,Human
2024-08-28T18:03:29.612Z,0,0,0,0,Human
2024-08-28T18:03:30.613Z,50,0,0,0,Human
2024-08-28T18:03:31.627Z,26,0,2,0,Human
2024-08-28T18:03:32.611Z,0,0,2,0,Human
2024-08-28T18:03:33.616Z,22,0,1,0,Human
2024-08-28T18:03:34.612Z,95,0,0,0,Human
2024-08-28T18:03:35.609Z,0,6044.8,0,5,Human
2024-08-28T18:03:36.622Z,0,179.8,0,5,Human
2024-08-28T18:03:37.608Z,0,220.2,0,5,Human
2024-08-28T18:03:38.611Z,0,73.16666666666667,0,12,Human
2024-08-28T18:03:39.607Z,33,0,0,0,Human
2024-08-28T18:03:40.615Z,100,0,0,0,Human
2024-08-28T18:03:41.616Z,83,0,0,0,Human
2024-08-28T18:03:42.608Z,28,0,0,0,Human
2024-08-28T18:03:43.610Z,28,0,0,0,Human
2024-08-28T18:03:44.609Z,28,0,0,0,Human
2024-08-28T18:03:45.619Z,82,0,0,0,Human
2024-08-28T18:03:46.609Z,0,0,0,0,Human
2024-08-28T18:03:47.622Z,0,0,1,0,Human
2024-08-28T18:03:48.611Z,0,0,2,0,Human
2024-08-28T18:03:49.608Z,0,0,1,0,Human
2024-08-28T18:03:50.610Z,2,0,2,0,Human
2024-08-28T18:03:51.618Z,1,0,3,0,Human
2024-08-28T18:03:52.613Z,0,0,1,0,Human
2024-08-28T18:03:53.610Z,11,0,0,0,Human
2024-08-28T18:03:54.609Z,62,0,1,0,Human
2024-08-28T18:03:55.610Z,0,0,2,0,Human
2024-08-28T18:03:56.611Z,0,0,0,0,Human
2024-08-28T18:03:57.619Z,0,1591.75,0,12,Human
2024-08-28T18:03:58.624Z,0,90.63636363636364,0,11,Human
2024-08-28T18:03:59.615Z,0,115.14285714285714,0,7,Human
2024-08-28T18:04:00.614Z,0,271,0,1,Human
2024-08-28T18:04:01.609Z,0,0,0,0,Human
2024-08-28T18:04:02.615Z,0,0,0,0,Human
2024-08-28T18:04:03.611Z,0,0,0,0,Human
2024-08-28T18:04:04.608Z,0,0,0,0,Human
2024-08-28T18:04:05.621Z,0,0,0,0,Human
2024-08-28T18:04:06.609Z,1,0,1,0,Human
2024-08-28T18:04:07.621Z,6,0,2,0,Human
2024-08-28T18:04:08.609Z,21,0,2,0,Human
2024-08-28T18:04:09.615Z,32,0,1,0,Human
2024-08-28T18:04:10.608Z,92,0,0,0,Human
2024-08-28T18:04:11.616Z,107,0,0,0,Human
2024-08-28T18:04:12.610Z,54,6453.5,0,2,Human
2024-08-28T18:04:13.609Z,0,129.25,0,8,Human
2024-08-28T18:04:14.612Z,0,100.5,0,8,Human
2024-08-28T18:04:15.615Z,0,150.875,0,8,Human
2024-08-28T18:04:16.616Z,0,106.33333333333333,0,9,Human
2024-08-28T18:04:17.611Z,0,106,0,3,Human
2024-08-28T18:04:18.609Z,17,0,1,0,Human
2024-08-28T18:04:19.607Z,0,0,2,0,Human
2024-08-28T18:04:20.617Z,33,0,0,0,Human
2024-08-28T18:04:21.606Z,25,0,1,0,Human
2024-08-28T18:04:22.611Z,108,0,0,0,Human
2024-08-28T18:04:23.610Z,123,0,0,0,Human
2024-08-28T18:04:24.608Z,95,0,0,0,Human
2024-08-28T18:04:25.619Z,80,0,0,0,Human
2024-08-28T18:04:27.559Z,0,0,0,0,Human
2024-08-28T18:04:29.564Z,0,0,0,0,Human
2024-08-28T18:04:31.552Z,0,0,0,0,Human
2024-08-28T18:04:32.558Z,0,0,0,0,Human
2024-08-28T18:04:34.557Z,0,0,0,0,Human
2024-08-28T18:04:35.562Z,0,0,0,0,Human
2024-08-28T18:04:37.560Z,0,0,0,0,Human
2024-08-28T18:04:38.564Z,0,0,0,0,Human
2024-08-28T18:04:39.772Z,0,0,0,0,Human
2024-08-28T18:04:40.611Z,15,0,0,0,Human
2024-08-28T18:04:41.611Z,27,0,2,0,Human
2024-08-28T18:04:42.613Z,1,0,3,0,Human
2024-08-28T18:04:43.615Z,0,3336.375,1,8,Human
2024-08-28T18:04:44.625Z,0,204.4,0,5,Human
2024-08-28T18:04:45.616Z,0,130,0,5,Human
2024-08-28T18:04:46.627Z,0,618.5,0,2,Human
